Running on host gpu05.bc4.acrc.priv
Time is Tue Dec 8 19:09:45 GMT 2020
Directory is /mnt/storage/home/tg17437/adl/adl_cw
Slurm job ID is 4072753
This job runs on the following machines:
gpu05
GPU number: 0
Writing logs to logs/CNN_bs=128_lr=0.03_run_8
epoch: [3], step: [78/157], batch loss: 0.13992, batch accuracy: 0.00, data load time: 0.00164, step time: 0.08038
epoch: [3], step: [88/157], batch loss: 0.13395, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07688
epoch: [3], step: [98/157], batch loss: 0.13695, batch accuracy: 0.00, data load time: 0.00169, step time: 0.07843
epoch: [3], step: [108/157], batch loss: 0.13550, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07605
epoch: [3], step: [118/157], batch loss: 0.13517, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07606
epoch: [3], step: [128/157], batch loss: 0.13413, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07598
epoch: [3], step: [138/157], batch loss: 0.13893, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07615
epoch: [3], step: [148/157], batch loss: 0.13917, batch accuracy: 0.00, data load time: 0.00144, step time: 0.07613
validation loss: 0.01903, accuracy: 0.00
epoch: [4], step: [1/157], batch loss: 0.13907, batch accuracy: 0.00, data load time: 0.01027, step time: 0.08213
epoch: [4], step: [11/157], batch loss: 0.13745, batch accuracy: 0.00, data load time: 0.00163, step time: 0.07905
epoch: [4], step: [21/157], batch loss: 0.13586, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07638
epoch: [4], step: [31/157], batch loss: 0.13384, batch accuracy: 0.00, data load time: 0.00168, step time: 0.07643
epoch: [4], step: [41/157], batch loss: 0.13629, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07759
epoch: [4], step: [51/157], batch loss: 0.13937, batch accuracy: 0.00, data load time: 0.00162, step time: 0.07652
epoch: [4], step: [61/157], batch loss: 0.13755, batch accuracy: 0.00, data load time: 0.00164, step time: 0.07873
epoch: [4], step: [71/157], batch loss: 0.13585, batch accuracy: 0.00, data load time: 0.00163, step time: 0.07787
epoch: [4], step: [81/157], batch loss: 0.13311, batch accuracy: 0.00, data load time: 0.00161, step time: 0.07917
epoch: [4], step: [91/157], batch loss: 0.14081, batch accuracy: 0.00, data load time: 0.00156, step time: 0.08228
epoch: [4], step: [101/157], batch loss: 0.13351, batch accuracy: 0.00, data load time: 0.00147, step time: 0.07817
epoch: [4], step: [111/157], batch loss: 0.13827, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07612
epoch: [4], step: [121/157], batch loss: 0.13359, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07610
epoch: [4], step: [131/157], batch loss: 0.13292, batch accuracy: 0.00, data load time: 0.00146, step time: 0.07608
epoch: [4], step: [141/157], batch loss: 0.13905, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07618
epoch: [4], step: [151/157], batch loss: 0.13609, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07598
epoch: [5], step: [4/157], batch loss: 0.13602, batch accuracy: 0.00, data load time: 0.00158, step time: 0.08504
epoch: [5], step: [14/157], batch loss: 0.13768, batch accuracy: 0.00, data load time: 0.00154, step time: 0.07617
epoch: [5], step: [24/157], batch loss: 0.13790, batch accuracy: 0.00, data load time: 0.00176, step time: 0.07630
epoch: [5], step: [34/157], batch loss: 0.13761, batch accuracy: 0.00, data load time: 0.00170, step time: 0.07624
epoch: [5], step: [44/157], batch loss: 0.13574, batch accuracy: 0.00, data load time: 0.00160, step time: 0.09215
epoch: [5], step: [54/157], batch loss: 0.13603, batch accuracy: 0.00, data load time: 0.00165, step time: 0.08341
epoch: [5], step: [64/157], batch loss: 0.13639, batch accuracy: 0.00, data load time: 0.00163, step time: 0.07657
epoch: [5], step: [74/157], batch loss: 0.14043, batch accuracy: 0.00, data load time: 0.00166, step time: 0.07631
epoch: [5], step: [84/157], batch loss: 0.13397, batch accuracy: 0.00, data load time: 0.00164, step time: 0.07631
epoch: [5], step: [94/157], batch loss: 0.14120, batch accuracy: 0.00, data load time: 0.00166, step time: 0.07642
epoch: [5], step: [104/157], batch loss: 0.13713, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07604
epoch: [5], step: [114/157], batch loss: 0.13703, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07603
epoch: [5], step: [124/157], batch loss: 0.12919, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07602
epoch: [5], step: [134/157], batch loss: 0.13287, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07597
epoch: [5], step: [144/157], batch loss: 0.13557, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07605
epoch: [5], step: [154/157], batch loss: 0.13763, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07603
validation loss: 0.01906, accuracy: 0.00
epoch: [6], step: [7/157], batch loss: 0.14397, batch accuracy: 0.00, data load time: 0.00164, step time: 0.07622
epoch: [6], step: [17/157], batch loss: 0.13130, batch accuracy: 0.00, data load time: 0.00182, step time: 0.07628
epoch: [6], step: [27/157], batch loss: 0.13752, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07629
epoch: [6], step: [37/157], batch loss: 0.13388, batch accuracy: 0.00, data load time: 0.00170, step time: 0.07627
epoch: [6], step: [47/157], batch loss: 0.13522, batch accuracy: 0.00, data load time: 0.00168, step time: 0.07632
